model,asset,n,n_cal,qV,noise_mean,noise_sd,sd_over_qV,p95_absdev_over_qV,mean_displacement,legacy_sign_sd_over_qV
Moirai-1.1,BTC,1000,2697,0.022615959169785052,0.010585656125120094,0.10368252382429877,0.0969163752075546,0.20949088118287285,0.0012543680945966765,0.11533919341693076
Moirai-1.1,BTC,5000,2697,0.022615959169785052,0.0007506929642859989,0.04786489771777761,0.07110249129670683,0.13705535415939535,-0.00014040261907746765,0.07570991707664329
Moirai-1.1,SP500,1000,4334,0.0024530336436822658,0.010006624107566104,0.11585403918851178,0.17963351509343806,0.7037735757625883,0.001040005602340402,0.18973264007462573
Moirai-1.1,SP500,5000,4334,0.0024530336436822658,0.0002802365752154191,0.053533945213276535,0.12918651720065852,0.3602097530600763,0.00035708504870331356,0.13594696849988522
Lag-Llama,BTC,1000,2697,0.03686595187484931,0.009812931723997895,0.11892598079612589,0.06833727652797514,0.13982168493723057,0.0011153068476947234,0.06545529590277317
Lag-Llama,SP500,1000,4334,0.008755692629862243,0.0062588880059188294,0.1280534623931953,0.047254820607261966,0.15611874277564902,0.0005479828144633603,0.04763109664059361
