law,n,bias,B_true,A0,lambda_star,loss_raw,loss_full,loss_oracle_lambda,oracle_minus_full,oracle_minus_full_mcse,best_fixed_lambda_on_grid,best_fixed_lambda_loss
normal,250,0.0,0.0,9.891963690347193e-06,0.0,0.0,1.3349088885812853e-05,0.0,-1.3349088885812853e-05,9.303037308420484e-07,0.0,0.0
normal,250,0.0035355339059327364,1.5552432894166426e-05,9.891963690347193e-06,0.6112321368089428,0.0,-2.203344008353472e-06,-1.0424762972439263e-05,-8.22141896408579e-06,6.353626913007182e-07,0.46,-1.1277978902614325e-05
normal,500,0.0,0.0,4.945981845173597e-06,0.0,0.0,5.1133093334944035e-06,0.0,-5.1133093334944035e-06,3.087669415828613e-07,0.0,0.0
normal,500,0.0035355339059327364,1.5552432894166426e-05,4.945981845173597e-06,0.7587139343179843,0.0,-1.0439123560671903e-05,-1.1864870380144924e-05,-1.4257468194730208e-06,1.706228530461113e-07,0.705,-1.1918663305351075e-05
normal,700,0.0,0.0,3.5328441751239977e-06,0.0,0.0,3.5093075784042344e-06,0.0,-3.5093075784042344e-06,2.2831882263701596e-07,0.0,0.0
normal,700,0.0035355339059327364,1.5552432894166426e-05,3.5328441751239977e-06,0.8148916485572747,0.0,-1.2043125315762056e-05,-1.2819678298802715e-05,-7.76552983040659e-07,1.1864673153529125e-07,0.773,-1.2849205482993593e-05
normal,1000,0.0,0.0,2.4729909225867984e-06,0.0,0.0,2.508186686607212e-06,0.0,-2.508186686607212e-06,1.561445589017252e-07,0.0,0.0
normal,1000,0.0035355339059327364,1.5552432894166426e-05,2.4729909225867984e-06,0.8628053937745227,0.0,-1.3044246207559098e-05,-1.3417498990881877e-05,-3.7325278332277865e-07,7.063014938539213e-08,0.836,-1.3427964100063401e-05
normal,2000,0.0,0.0,1.2364954612933992e-06,0.0,0.0,1.1964743194729354e-06,0.0,-1.1964743194729354e-06,7.624796825387851e-08,0.0,0.0
normal,2000,0.0035355339059327364,1.5552432894166426e-05,1.2364954612933992e-06,0.9263505427437669,0.0,-1.4355958574693402e-05,-1.4423128803957196e-05,-6.717022926379345e-08,2.4923994036405714e-08,0.928,-1.4423169090479012e-05
t5,250,0.0,0.0,1.7738504447803653e-05,0.0,0.0,2.589355566303779e-05,0.0,-2.589355566303779e-05,1.7309069058792771e-06,0.0,0.0
t5,250,0.0035355339059327364,8.22377936626577e-06,1.7738504447803653e-05,0.31675870370884546,0.0,1.7669776296772046e-05,-4.3280694593295724e-06,-2.199784575610162e-05,1.6362992430019418e-06,0.25,-4.587279417182302e-06
t5,500,0.0,0.0,8.869252223901827e-06,0.0,0.0,8.914907521130645e-06,0.0,-8.914907521130645e-06,5.968739277249051e-07,0.0,0.0
t5,500,0.0035355339059327364,8.22377936626577e-06,8.869252223901827e-06,0.48111883037742265,0.0,6.911281548649294e-07,-4.384499144876169e-06,-5.075627299741098e-06,5.102469399327826e-07,0.435,-4.424903300870116e-06
t5,700,0.0,0.0,6.335180159929876e-06,0.0,0.0,6.9368547609759884e-06,0.0,-6.9368547609759884e-06,4.923072328755186e-07,0.0,0.0
t5,700,0.0035355339059327364,8.22377936626577e-06,6.335180159929876e-06,0.5648603769705444,0.0,-1.2869246052897208e-06,-4.7135013103460635e-06,-3.426576705056343e-06,3.8564782488951907e-07,0.495,-4.7912117316232835e-06
t5,1000,0.0,0.0,4.434626111950913e-06,0.0,0.0,4.764392429034401e-06,0.0,-4.764392429034401e-06,3.0649828852230406e-07,0.0,0.0
t5,1000,0.0035355339059327364,8.22377936626577e-06,4.434626111950913e-06,0.6496694532670585,0.0,-3.459386937231297e-06,-5.4804882245315775e-06,-2.0211012873002805e-06,2.2502125284546125e-07,0.583,-5.538467694239184e-06
t5,2000,0.0,0.0,2.2173130559754567e-06,0.0,0.0,2.441756241664857e-06,0.0,-2.441756241664857e-06,1.4633256088449246e-07,0.0,0.0
t5,2000,0.0035355339059327364,8.22377936626577e-06,2.2173130559754567e-06,0.7876359133406177,0.0,-5.782023124600838e-06,-6.3601181534414435e-06,-5.780950288406054e-07,8.909063000935223e-08,0.743,-6.379285920582206e-06
