 alpha estimator  drop_grid_failures  restricted   n    slope  intercept       r2       p_value   stderr  n_worse
 0.010    static               False       False 240 1.028757   0.102321 0.823106  1.709327e-91 0.030914       27
 0.010    static               False        True 144 6.948317  -0.024700 0.686241  1.457853e-37 0.394271       27
 0.010    static                True       False 192 2.119920   0.021809 0.985209 8.243788e-176 0.018844       27
 0.010    static                True        True 144 6.948317  -0.024700 0.686241  1.457853e-37 0.394271       27
 0.025    static               False       False 240 1.029335   0.069267 0.878335 7.510846e-111 0.024833       23
 0.025    static               False        True 141 3.065442  -0.016164 0.840314  3.117495e-57 0.113344       23
 0.025    static                True       False 192 1.908181   0.001670 0.992692 6.701084e-205 0.011878       23
 0.025    static                True        True 141 3.065442  -0.016164 0.840314  3.117495e-57 0.113344       23
 0.050    static               False       False 240 1.021902   0.039081 0.933466 4.681778e-142 0.017685       30
 0.050    static               False        True 122 1.330674  -0.006797 0.704871  1.369777e-33 0.078602       30
 0.050    static                True       False 192 1.641621  -0.009279 0.994731 2.118785e-218 0.008668       30
 0.050    static                True        True 122 1.330674  -0.006797 0.704871  1.369777e-33 0.078602       30
 0.100    static               False       False 240 1.010803   0.002357 0.983083 7.733969e-213 0.008595       39
 0.100    static               False        True 118 0.561232  -0.004028 0.687358  4.584469e-31 0.035144       39
 0.100    static                True       False 192 1.273855  -0.017993 0.989766 5.236761e-191 0.009397       39
 0.100    static                True        True 118 0.561232  -0.004028 0.687358  4.584469e-31 0.035144       39
 0.010      roll               False       False 240 1.093458   0.055940 0.817867  5.530548e-90 0.033448       84
 0.010      roll               False        True 144 9.010436  -0.094669 0.612302  5.160687e-31 0.601680       84
 0.010      roll                True       False 192 2.254662  -0.029739 0.974516 2.306566e-153 0.026451       84
 0.010      roll                True        True 144 9.010436  -0.094669 0.612302  5.160687e-31 0.601680       84
 0.025      roll               False       False 240 1.066104   0.052237 0.875429 1.248182e-109 0.026068       75
 0.025      roll               False        True 141 3.663463  -0.043583 0.764039  1.993089e-45 0.172682       75
 0.025      roll                True       False 192 1.982241  -0.018224 0.988820 2.326258e-187 0.015291       75
 0.025      roll                True        True 141 3.663463  -0.043583 0.764039  1.993089e-45 0.172682       75
 0.050      roll               False       False 240 1.059792   0.027432 0.932833 1.444958e-141 0.018434       84
 0.050      roll               False        True 122 1.786085  -0.025598 0.607409  4.016445e-26 0.131081       84
 0.050      roll                True       False 192 1.704598  -0.022879 0.993428 2.767133e-209 0.010058       84
 0.050      roll                True        True 122 1.786085  -0.025598 0.607409  4.016445e-26 0.131081       84
 0.100      roll               False       False 240 1.053923  -0.005375 0.984291 1.146058e-216 0.008631       75
 0.100      roll               False        True 118 0.788880  -0.015484 0.616568  6.690510e-26 0.057761       75
 0.100      roll                True       False 192 1.323526  -0.026217 0.990886 8.654208e-196 0.009209       75
 0.100      roll                True        True 118 0.788880  -0.015484 0.616568  6.690510e-26 0.057761       75
