alpha,estimator,signal,n_applied,n_skipped,degraded_when_applied,degradations_avoided,gains_forgone,median_gain_applied,median_forgone,zone_upgrades_total,zone_upgrades_kept
0.01,static,test,218,94,8,58,36,6.913946876409368,-0.3360914761221975,181,181
0.01,static,cal,259,53,49,17,36,4.83443890199843,0.47265648680075106,181,171
0.025,static,test,312,0,65,0,0,1.1425851490883945,,151,151
0.025,static,cal,312,0,65,0,0,1.1425851490883945,,151,151
0.05,static,test,312,0,89,0,0,0.28469772097950813,,27,27
0.05,static,cal,312,0,89,0,0,0.28469772097950813,,27,27
0.1,static,test,312,0,118,0,0,0.0437244607454278,,0,0
0.1,static,cal,312,0,118,0,0,0.0437244607454278,,0,0
0.01,roll,test,218,94,85,89,5,2.100901803446293,-7.109959584149797,204,204
0.01,roll,cal,259,53,130,44,9,-0.08408223680954346,-5.4460084959241,204,184
0.025,roll,test,312,0,160,0,0,-0.18825238507502226,,162,162
0.025,roll,cal,312,0,160,0,0,-0.18825238507502226,,162,162
0.05,roll,test,312,0,193,0,0,-0.5452872535271954,,0,0
0.05,roll,cal,312,0,193,0,0,-0.5452872535271954,,0,0
0.1,roll,test,312,0,202,0,0,-0.5271267007048401,,0,0
0.1,roll,cal,312,0,202,0,0,-0.5271267007048401,,0,0
