model,asset,alpha,n_test,qV,pihat_raw,p_kup_raw,miscal_raw,QS_raw,QS_static,QS_roll,pihat_static,pihat_roll,TL_raw,TL_static,TL_roll,dQS_static,dQS_roll,rel_static,rel_roll
EWMA,GOLD,0.1,1848,-0.000703848086778475,0.09036796536796536,0.16127946294572093,0.009632034632034644,0.002035773768862882,0.0020323849463486014,0.0020422678806091715,0.09902597402597403,0.09523809523809523,Red,Red,Red,3.3888225142806455e-06,-6.494111746289423e-06,0.0016646361035359705,-0.003189996769590378
Moirai-1.1,GBPUSD,0.1,1585,0.00044224721822488716,0.11861198738170348,0.016092306136545553,0.01861198738170347,0.0010354891169669117,0.001031779486074766,0.001045683458444568,0.09842271293375394,0.1053627760252366,Red,Red,Red,3.7096308921457776e-06,-1.019434147765631e-05,0.0035824914345906314,-0.009844952796333505
EWMA,ICLN,0.1,1263,-0.00033788852343652476,0.08867775138558986,0.1722733295090918,0.01132224861441014,0.0029945550399796254,0.0029907788495854752,0.003018552155279579,0.09026128266033254,0.10292953285827396,Red,Red,Red,3.7761903941501383e-06,-2.3997115299953607e-05,0.0012610188638161853,-0.008013582979632554
Hist-Sim,BTC,0.1,1185,0.0005766926459315411,0.10717299578059072,0.41530817420887234,0.0071729957805907185,0.004492901506720589,0.004489036763595645,0.004591952889804267,0.10632911392405063,0.11392405063291139,Red,Red,Red,3.8647431249436495e-06,-9.905138308367867e-05,0.0008601887041509089,-0.022046195078061527
Moirai-1.1,BOVESPA,0.1,1794,0.002389752091642874,0.11705685618729098,0.018701056555427198,0.01705685618729097,0.002658003164627416,0.002653008577076129,0.0026587661525090765,0.08695652173913043,0.09921962095875139,Red,Red,Red,4.994587551286622e-06,-7.629878816606608e-07,0.0018790750958292165,-0.0002870530373381298
GARCH-N,USDJPY,0.1,1966,-0.0005276707804033479,0.07934893184130214,0.0016048237890643469,0.02065106815869787,0.0009984676015928602,0.0009931843891946067,0.0010002882564292847,0.09715157680569685,0.09867751780264497,Red,Red,Red,5.283212398253523e-06,-1.820654836424485e-06,0.005291320809834178,-0.001823449086900752
GARCH-N,NATGAS,0.1,1850,-0.002332123174776886,0.09351351351351352,0.3476392639611724,0.00648648648648649,0.007752093538707358,0.007746329312202434,0.007794238899109937,0.10054054054054054,0.10432432432432433,Red,Red,Red,5.764226504924308e-06,-4.214536040257882e-05,0.0007435702982868649,-0.005436642397584698
EWMA,NATGAS,0.1,1850,-0.0018830595316091936,0.09351351351351352,0.3476392639611724,0.00648648648648649,0.007759786025512667,0.007753543952271752,0.007800238057991126,0.10108108108108108,0.09837837837837837,Red,Red,Red,6.242073240915122e-06,-4.045203247845901e-05,0.0008044130624726506,-0.005213034527686794
GARCH-N,ICLN,0.1,1263,-0.0004965413460758725,0.08392715756136183,0.05083945236291176,0.01607284243863817,0.0030283521766532456,0.003021245091210699,0.003046982765663326,0.08867775138558986,0.10451306413301663,Red,Red,Red,7.107085442546821e-06,-1.863058901008024e-05,0.0023468490545248103,-0.006152054953750346
GARCH-N,GOLD,0.1,1848,-0.0007540293402045345,0.0854978354978355,0.033521645552782364,0.014502164502164502,0.002042421003848444,0.002034765305319195,0.0020519842440069654,0.09361471861471861,0.0946969696969697,Red,Red,Red,7.655698529249275e-06,-9.563240158521301e-06,0.0037483449860846413,-0.004682306018446592
Moirai-1.1,NIFTY,0.1,1208,0.0012729802707853368,0.11920529801324503,0.030274986423950878,0.019205298013245026,0.0015609239982354458,0.001551754754384658,0.0015774847679796476,0.09271523178807947,0.10678807947019868,Red,Red,Red,9.169243850787713e-06,-1.6560769744201854e-05,0.005874241065646457,-0.010609593909071202
Moirai-1.1,FTSE100,0.1,1833,0.001577284081888378,0.1260229132569558,0.0003374205029770261,0.0260229132569558,0.001826127033922801,0.0018158615347606,0.001842824244876619,0.09056192034915439,0.09710856519367157,Red,Red,Red,1.0265499162201127e-05,-1.6697210953817978e-05,0.005621459499533972,-0.00914351008645319
Hist-Sim,ETH,0.1,841,0.00045895493859234027,0.1248513674197384,0.020220176322688133,0.024851367419738396,0.006703887194805761,0.0066926761546963935,0.006757312199752338,0.12366230677764566,0.1117717003567182,Red,Red,Red,1.121104010936777e-05,-5.342500494657631e-05,0.0016723193251303805,-0.007969257744666487
GJR-GARCH,ASX200,0.1,1912,-0.0015622960127343564,0.08106694560669456,0.00445388810657299,0.01893305439330545,0.0017863323466549006,0.0017722385502730775,0.0017870557238113837,0.10303347280334728,0.10564853556485355,Red,Red,Red,1.4093796381823079e-05,-7.233771564831275e-07,0.007889795204243615,-0.00040495104835207687
