alpha,estimator,n_degraded,zone_up,zone_same,zone_same_already_green,zone_down,median_loss_pct,median_loss_if_up,median_loss_if_same
0.01,static,66,6,60,59,0,-2.0899513461795602,-2.166657703424091,-2.0899513461795602
0.025,static,64,12,51,0,1,-0.5839766396180274,-2.1152598936282345,-0.37803631405572236
0.05,static,90,9,81,0,0,-0.21136636608916026,-0.8797974540085867,-0.20507960308126116
0.1,static,117,0,117,0,0,-0.11214743199602624,,-0.11214743199602624
0.01,roll,174,72,100,99,2,-6.180598883494333,-4.383907050102611,-7.638168321465861
0.025,roll,160,30,126,0,4,-1.8285668393643526,-1.0122698348722543,-2.0638355850706747
0.05,roll,194,0,194,0,0,-1.1730199158938452,,-1.1730199158938452
0.1,roll,202,0,202,0,0,-0.8517922784511807,,-0.8517922784511807
