alpha,estimator,drop_grid_failures,restricted,n,slope,intercept,r2,p_value,stderr,n_worse
0.01,static,False,False,312,2.1474260919973864,0.012008657916567744,0.9827276521219451,2.8127509145325633e-275,0.01616949583111072,66
0.01,static,False,True,264,6.8392629307337485,-0.0291296568344892,0.7354407058186871,1.2853678661989442e-77,0.25342317882968873,66
0.01,static,True,False,264,6.8392629307337485,-0.0291296568344892,0.7354407058186871,1.2853678661989442e-77,0.25342317882968873,66
0.01,static,True,True,264,6.8392629307337485,-0.0291296568344892,0.7354407058186871,1.2853678661989442e-77,0.25342317882968873,66
0.025,static,False,False,312,1.9273009402628964,-0.00555663783248464,0.9935732462755933,0.0,0.008803686540563177,64
0.025,static,False,True,261,2.8770796031297032,-0.01734541286774433,0.8487582263439698,3.1454017892263135e-108,0.07546505253344817,64
0.025,static,True,False,264,3.023692873661885,-0.018683978554035946,0.8711314828414856,1.4168537933970707e-118,0.07184864656281484,64
0.025,static,True,True,261,2.8770796031297032,-0.01734541286774433,0.8487582263439698,3.1454017892263135e-108,0.07546505253344817,64
0.05,static,False,False,312,1.6488096422334273,-0.01244508041147041,0.9941308252959028,0.0,0.007195424490331011,90
0.05,static,False,True,242,0.6873399742238615,-0.004135507865807677,0.3655571089490592,1.6366187598157323e-25,0.058450015701008676,90
0.05,static,True,False,264,1.5866635654393937,-0.011717308999161465,0.8513790117174855,1.8600551694701812e-110,0.04095555410736712,90
0.05,static,True,True,242,0.6873399742238615,-0.004135507865807677,0.3655571089490592,1.6366187598157323e-25,0.058450015701008676,90
0.1,static,False,False,312,1.2587561647576675,-0.01383930871757627,0.9889624168945033,2.0126648572515097e-305,0.007552797886094945,117
0.1,static,False,True,239,0.1650317979085548,-0.0015960846134403137,0.0937815012269353,1.3934030894686008e-06,0.03332355523742531,117
0.1,static,True,False,264,0.832038388282389,-0.007483851637118118,0.8567176940060383,1.5378257537089706e-112,0.021021811202074754,117
0.1,static,True,True,239,0.1650317979085548,-0.0015960846134403137,0.0937815012269353,1.3934030894686008e-06,0.03332355523742531,117
0.01,roll,False,False,312,2.29929949594373,-0.04575976119763224,0.9674218755757518,1.4675611266323271e-232,0.02396457791662985,174
0.01,roll,False,True,264,9.076146757854248,-0.10508518302247676,0.6439970806996863,1.0652330015475607e-60,0.41690364702581834,174
0.01,roll,True,False,264,9.076146757854248,-0.10508518302247676,0.6439970806996863,1.0652330015475607e-60,0.41690364702581834,174
0.01,roll,True,True,264,9.076146757854248,-0.10508518302247676,0.6439970806996863,1.0652330015475607e-60,0.41690364702581834,174
0.025,roll,False,False,312,1.995004624433829,-0.023123052808701666,0.9897670305276007,1.61580246371125e-310,0.01152119182157358,160
0.025,roll,False,True,261,3.2615697903269893,-0.038616960503412345,0.7223152385898374,5.0682772921839274e-74,0.12565779337925378,160
0.025,roll,True,False,264,3.3705280851496258,-0.03960935779853572,0.7634329296792013,5.476378769399181e-84,0.11591483090834444,160
0.025,roll,True,True,261,3.2615697903269893,-0.038616960503412345,0.7223152385898374,5.0682772921839274e-74,0.12565779337925378,160
0.05,roll,False,False,312,1.7072582718212588,-0.024396408883813656,0.9933140582210969,0.0,0.00795529672190045,194
0.05,roll,False,True,242,1.1043819186036603,-0.019669314923657165,0.3625500087680688,2.898223871346368e-25,0.09452632342950719,194
0.05,roll,True,False,264,1.7489407822077576,-0.025146093155487954,0.8235067406780815,1.1365112336044202e-100,0.050021296232742665,194
0.05,roll,True,True,242,1.1043819186036603,-0.019669314923657165,0.3625500087680688,2.898223871346368e-25,0.09452632342950719,194
0.1,roll,False,False,312,1.3071644672920453,-0.021613916951609247,0.9906923553869506,0.0,0.007196144531452547,202
0.1,roll,False,True,239,0.49907105334962887,-0.012235037865869977,0.2791643079015523,1.3810347660530263e-18,0.05209264431869016,202
0.1,roll,True,False,264,0.9358352983585307,-0.01615175545901286,0.8639087621054149,1.8014982984237886e-115,0.022947211543536787,202
0.1,roll,True,True,239,0.49907105334962887,-0.012235037865869977,0.2791643079015523,1.3810347660530263e-18,0.05209264431869016,202
