population,state,pairs,pair_dates,shift_qs,vol_qs,shift_pi,vol_pi,shift_signed_var,vol_signed_var,shift_overshoot,vol_overshoot,delta,threshold,overshoot,delta_normalized,threshold_normalized,overshoot_normalized,shift_qs_normalized,vol_qs_normalized
matched161,all,161,254690,0.00045472292967352351,0.00045282668568024569,0.0099915567955406129,0.010252772728980376,0.035011807457390819,0.035127217644898887,0.00010303844856874036,9.9988102700381923e-05,-1.8962439932778439e-06,1.1541018750806045e-06,-3.0503458683584493e-06,-0.00010887219705296461,0.00017982675945378698,-0.00028869895650675151,0.032409167747618123,0.032300295550565156
matched161,high,161,24424,0.00086373482009649831,0.00083282627228043469,0.014604543807418135,0.0091414879203534222,0.053354134863495703,0.059006504315153065,0.00031656778735871492,0.00022913554502607754,-3.0908547816063728e-05,5.652369451657364e-05,-8.7432242332637368e-05,-0.0023686611184173989,0.0041581122405346714,-0.0065267733589520699,0.062477750951871004,0.060109089833453595
matched161,other,161,230266,0.00041858633222404112,0.00041914932992206998,0.0095005757780505014,0.01031847911268226,0.033273584912073786,0.032916287473622789,8.4518021740898205e-05,8.8653993823437004e-05,5.6299769802882481e-07,-3.5729743845099852e-06,4.1359720825388095e-06,4.0748322197966356e-05,-0.00019379481879341367,0.00023454314099137998,0.029765128759433674,0.029805877081631633
full168,all,168,263179,0.00047296744456137933,0.00046932912229946606,0.0097475070776702616,0.010116112225001047,0.036930205749789544,0.036657462016916546,0.00010183912998651977,0.00010092824505333654,-3.6383222619131834e-06,-2.7274373287299474e-06,-9.1088493318323463e-07,-0.00015193193081208163,7.2163365067936676e-05,-0.0002240952958800183,0.032030873422134419,0.031878941491322345
