key,model,asset,n_cal,calibration_first,calibration_last,calibration_sd,test_first,test_last,high_days,other_days,matched,input_folder
EWMA__ASX200,EWMA,ASX200,4540,2001-01-02,2018-12-18,0.0098357904587164143,2018-12-19,2026-08-31,110,1836,True,artifacts/review_20260909/controlled/EWMA__ASX200/full
EWMA__AUDUSD,EWMA,AUDUSD,3518,2007-05-02,2020-11-10,0.008427105549073154,2020-11-11,2026-08-31,31,1478,True,artifacts/review_20260909/controlled/EWMA__AUDUSD/full
EWMA__BOVESPA,EWMA,BOVESPA,4449,2001-01-05,2019-01-02,0.017528004025414844,2019-01-03,2026-08-31,53,1854,True,artifacts/review_20260909/controlled/EWMA__BOVESPA/full
EWMA__BTC,EWMA,BTC,2881,2015-05-26,2023-04-14,0.038218245845250652,2023-04-15,2026-08-31,0,1235,False,artifacts/review_20260909/controlled/EWMA__BTC/full
EWMA__CBU0,EWMA,CBU0,2539,2012-03-06,2022-05-04,0.0033644226827288818,2022-05-05,2026-08-28,538,551,True,artifacts/review_20260909/controlled/EWMA__CBU0/full
EWMA__DJCI,EWMA,DJCI,1966,2015-07-02,2023-04-21,0.01013542878987566,2023-04-24,2026-08-31,77,766,True,artifacts/review_20260909/controlled/EWMA__DJCI/full
EWMA__ETH,EWMA,ETH,2076,2018-07-18,2024-03-23,0.045771015804729302,2024-03-24,2026-08-31,4,887,True,artifacts/review_20260909/controlled/EWMA__ETH/full
EWMA__EURUSD,EWMA,EURUSD,3955,2004-11-17,2020-02-21,0.0076578790555231185,2020-02-24,2026-08-31,38,1658,True,artifacts/review_20260909/controlled/EWMA__EURUSD/full
EWMA__FCHI,EWMA,FCHI,4594,2000-12-28,2018-12-18,0.014301397997656036,2018-12-19,2026-08-31,104,1865,True,artifacts/review_20260909/controlled/EWMA__FCHI/full
EWMA__FTSE100,EWMA,FTSE100,4538,2000-12-29,2018-12-12,0.011743188843602927,2018-12-13,2026-08-28,89,1856,True,artifacts/review_20260909/controlled/EWMA__FTSE100/full
EWMA__GBPUSD,EWMA,GBPUSD,3964,2004-11-17,2020-02-18,0.0059392857683799108,2020-02-19,2026-08-31,133,1566,True,artifacts/review_20260909/controlled/EWMA__GBPUSD/full
EWMA__GDAXI,EWMA,GDAXI,4563,2000-12-27,2018-12-13,0.014785545563910903,2018-12-14,2026-08-31,83,1873,True,artifacts/review_20260909/controlled/EWMA__GDAXI/full
EWMA__GLD,EWMA,GLD,3659,2005-11-16,2020-06-02,0.011737321865328405,2020-06-03,2026-08-31,148,1421,True,artifacts/r8_commodity_etp/controlled/EWMA__GLD/full
EWMA__HSI,EWMA,HSI,4421,2001-01-08,2018-12-11,0.014435830583005438,2018-12-12,2026-08-31,138,1758,True,artifacts/review_20260909/controlled/EWMA__HSI/full
