asset,method,n_cal,shift,n_test,viol,pihat,p_kup,p_ind,p_cc,lr_uc,lr_ind,QS,width,TL
ASX200,Raw,4356,0.009057317756227368,1868,62,0.033190578158458245,1.9221004490435978e-15,0.0008759951909372949,7.659119180329096e-17,63.14321924072411,11.072879945818386,0.0005170363272093233,0.018861628774603,Yellow
ASX200,Static,4356,0.009057317756227368,1868,17,0.009100642398286937,0.6915963102427041,0.1446697915925451,0.3190309511498828,0.1573627033453393,2.12757160736615,0.0004426154425837837,0.027918946530830362,Green
ASX200,Rolling250,4356,0.009057317756227368,1868,17,0.009100642398286937,0.6915963102427041,0.00029216371210631783,0.0013087673212656445,0.1573627033453393,13.119976418450932,0.0004221354774249548,0.03223079685120376,Green
AUDUSD,Raw,3335,0.005560624325355257,1430,46,0.032167832167832165,2.1752084652672917e-11,0.6654882978600678,1.6976324058501734e-10,44.80630766372579,0.1869250403357796,0.0002648149603834275,0.012893187838116769,Yellow
AUDUSD,Static,3335,0.005560624325355257,1430,13,0.00909090909090909,0.7256656104722246,0.6251437842889755,0.8345051897118649,0.12312871559642469,0.23870391830732274,0.00023624891925011745,0.018453812163472028,Green
AUDUSD,Rolling250,3335,0.005560624325355257,1430,16,0.011188811188811189,0.6574988061526941,0.5471999271228409,0.756186876552411,0.19657612972148986,0.3623573545633576,0.00023564255372726924,0.018483150494952357,Green
BOVESPA,Raw,4265,0.009372449749454642,1829,39,0.021323127392017496,2.3528826371418423e-05,0.05734077065427568,2.1524734784921997e-05,17.879939275518574,3.612676382450161,0.0007386595409022798,0.027985074209288932,Yellow
BOVESPA,Static,4265,0.009372449749454642,1829,16,0.008747949699289229,0.5823871900016334,0.12878500070452625,0.2712429595848798,0.30239125139103873,2.307089408432489,0.0006973908022292364,0.037357523958743574,Green
BOVESPA,Rolling250,4265,0.009372449749454642,1829,15,0.008201202843083653,0.42485508664572935,0.11086656708556482,0.2040611163290798,0.636846364622504,2.5418251156926317,0.0006597519322718569,0.04907525262544995,Green
BTC,Raw,2697,0.041049098032692244,1157,13,0.011235955056179775,0.6786360818549477,0.5865784939624891,0.791605337124515,0.1716652344664853,0.2957194116889639,0.0008405912608250592,0.062063168694358725,Green
BTC,Static,2697,0.041049098032692244,1157,1,0.000864304235090752,5.2923290427637554e-05,0.9668075911545815,0.00028271512773086436,16.340409964234166,0.0017316019477569,0.0010776975407794777,0.10311226672705096,Green
BTC,Rolling250,2697,0.041049098032692244,1157,16,0.013828867761452032,0.2160078465987941,0.502744801379747,0.371607404362873,1.530697140071478,0.4491375531571009,0.0008933606170129414,0.06892746492393956,Green
CBU0,Raw,2356,0.002331516614764972,1010,27,0.026732673267326732,9.619452320058498e-06,0.2230075455999939,2.6583341267285223e-05,19.58553943758764,1.4849121754355679,0.00017845275009154994,0.00958292167377159,Yellow
CBU0,Static,2356,0.002331516614764972,1010,14,0.013861386138613862,0.2439113636865394,0.5302132414504364,0.41648127600794094,1.3578446982720047,0.39398284962587127,0.00014996334183377299,0.011914438288536564,Green
CBU0,Rolling250,2356,0.002331516614764972,1010,4,0.0039603960396039604,0.028013932941486193,0.858377335603298,0.08807863120213187,4.827209774077729,0.03184088008639918,0.00014157470454366153,0.013315656633435162,Green
DJCI,Raw,1782,0.009570654079629592,765,10,0.013071895424836602,0.4148394650497671,0.11476362106892127,0.20677431274487038,0.6648883298575088,2.4873663843334555,0.0003081623448848451,0.022180342638033358,Green
DJCI,Static,1782,0.009570654079629592,765,1,0.00130718954248366,0.0023055793000213293,0.9591677647818352,0.009602657073165974,9.288809647969813,0.0026212327294814486,0.00033343771233070057,0.031750996717662947,Green
