method,assets,observations,QS_x10000,pi_mean,kupiec_rejections,conditional_rejections,worse_than_raw
Raw,24,36252,5.633394064715967,0.028658062005186568,22,22,0
Static,24,36252,5.124654538912129,0.008435670487129792,7,8,4
Rolling250,24,36252,5.15745050020133,0.008242885947851874,2,6,2
