asset,n_dates,n_degenerate,n_failed_fit,frac_degenerate,nu_median,n,pihat,p_kupiec,TL,width001,max_abs_VaR,implied_z,scale,frac_monotone,pihat_0.01,pihat_0.025,pihat_0.05,pihat_0.1
ASX200,6371,0,0,0.0,15.046557454893973,6371,0.020561921205462252,1.2023715356690445e-13,Yellow,0.020896416491745697,0.17704522800302278,-2.4224728466737275,-2.1371595200370423,1.0,0.020561921205462252,0.03986815256631612,0.06529587191963585,0.1134829697064825
AUDUSD,4909,0,0,0.0,14.993650863381129,4909,0.015278060704827868,0.0005633631642560921,Green,0.017012432620375967,0.1387680358311568,-2.4228189703324032,-2.2800759444129923,1.0,0.015278060704827868,0.03463027093094317,0.06314931757995518,0.11305764921572621
BOVESPA,6242,0,0,0.0,20.6179697419349,6242,0.014418455623197693,0.0009989110620958197,Green,0.03638611528858979,0.3275556903767874,-2.396053214159907,-2.1763465744449393,1.0,0.014418455623197693,0.0331624479333547,0.06135853892983018,0.1074975969240628
BTC,3950,11,2,0.0027848101265822785,3.2450881111082412,3950,0.014683544303797468,0.005682992941449361,Green,0.08827809738678381,0.7808092523761717,-2.5993917303613854,-2.474157933631574,1.0,0.014683544303797468,0.03291139240506329,0.0610126582278481,0.10253164556962026
CBU0,3515,214,190,0.060881934566145095,8.188249264644707,3515,0.013940256045519203,0.02669586500871557,Green,0.009015509147740276,0.04122469697444385,-2.5007821299869795,-2.3720896834500578,1.0,0.013940256045519203,0.032147937411095305,0.05519203413940256,0.10014224751066857
DJCI,2572,9,9,0.003499222395023328,8.905900636033143,2572,0.015552099533437015,0.008868696247939845,Green,0.022489355613813662,0.09440578020225825,-2.489987087878446,-2.3422083754243674,1.0,0.015552099533437015,0.0322706065318818,0.05754276827371695,0.09720062208398134
ETH,2800,0,0,0.0,3.6134997913305367,2800,0.011428571428571429,0.45758970342133987,Green,0.1144216034582329,0.40007008056747945,-2.5998057533763057,-2.5457178806405416,1.0,0.011428571428571429,0.030714285714285715,0.05964285714285714,0.10142857142857142
EURUSD,5533,4,4,0.0007229351165732876,11.077138189324433,5533,0.011747695644315923,0.20358852094495405,Green,0.014221174379980021,0.35113395028194505,-2.450872001489145,-2.3092825351011945,1.0,0.011747695644315923,0.028375203325501537,0.05656967287185975,0.10916320260256641
FCHI,6448,0,0,0.0,11.109788914057017,6448,0.015353598014888337,6.193871895643355e-05,Green,0.029982091234620797,0.2635015118398119,-2.457269074654226,-2.1129019012520858,1.0,0.015353598014888337,0.03504962779156327,0.062034739454094295,0.11088709677419355
FTSE100,6370,0,0,0.0,13.148379530523279,6370,0.018524332810047096,9.806959688773986e-10,Yellow,0.023734417987014495,0.1950360972820238,-2.4366463819494433,-2.119166276418776,1.0,0.018524332810047096,0.03783359497645212,0.06185243328100471,0.11240188383045525
GBPUSD,5545,2,2,0.0003606853020739405,10.686395505909614,5545,0.01460775473399459,0.0012521076243321438,Green,0.0136916367658018,0.06027432372671,-2.4625309302476968,-2.3358312512935377,1.0,0.01460775473399459,0.03174030658250676,0.0569882777276826,0.10513976555455365
GDAXI,6404,0,0,0.0,9.341340729598441,6404,0.01655215490318551,1.4662608992521697e-06,Yellow,0.03077647284479788,0.23326723436208893,-2.482338804975308,-2.1394560836378926,1.0,0.01655215490318551,0.037476577139287946,0.0669893816364772,0.11648969394128669
GOLD,6159,4,1,0.000649456080532554,5.673827816773925,6159,0.015586945932781296,4.6309464518445864e-05,Green,0.02687459983599883,0.1468437176566877,-2.574165583706964,-2.4544251534268247,1.0,0.015586945932781296,0.034096444227959086,0.06478324403312226,0.11284299399253125
HSI,6206,0,0,0.0,9.943935902663103,6206,0.014340960360941025,0.0012509889595000434,Green,0.03190567041668923,0.24330901631662746,-2.472819557390647,-2.239787385910371,1.0,0.014340960360941025,0.03480502739284563,0.06106993232355785,0.11279407025459233
IBGL,4348,109,2,0.025068997240110396,7.32291587102033,4348,0.015409383624655014,0.0008968701189356887,Green,0.02031093067729245,0.14786627892082294,-2.496899098673532,-2.3458606084385547,1.0,0.015409383624655014,0.030818767249310028,0.05703771849126035,0.10878564857405704
ICLN,4209,0,0,0.0,10.109999314180595,4209,0.015205511998099311,0.0016201234571461276,Green,0.03935396215228029,0.2720075415153603,-2.470390068415889,-2.275143154067374,1.0,0.015205511998099311,0.033737229745782846,0.05844618674269423,0.10596341173675457
NATGAS,6164,0,0,0.0,8.243553526384291,6164,0.009409474367293965,0.6379124106662626,Green,0.08681007234277506,0.3800543293827633,-2.5030842822521846,-2.3250963289531494,1.0,0.009409474367293965,0.02465931213497729,0.05158987670343933,0.09944841012329655
NIFTY,4288,0,0,0.0,11.497351550997838,4288,0.01515858208955224,0.0016057972199141624,Green,0.025723974626408155,0.22233954715558477,-2.452788413067567,-2.1415396547314365,1.0,0.01515858208955224,0.03055037313432836,0.06063432835820896,0.11217350746268656
NIKKEI,6168,0,0,0.0,10.640283721221557,6168,0.016699092088197146,1.4072741503223796e-06,Yellow,0.032963787975205536,0.18783236190174912,-2.4631289246003667,-2.1424194755350583,1.0,0.016699092088197146,0.03518158236057069,0.05966277561608301,0.11202983138780805
SP500,6340,0,0,0.0,9.662527862927092,6340,0.018138801261829655,5.016340232089078e-09,Yellow,0.025444359267151887,0.3069750407220941,-2.4767061610594805,-2.0772160984353407,1.0,0.018138801261829655,0.03722397476340694,0.06593059936908517,0.11419558359621451
STOXX,5255,0,0,0.0,8.962267381933968,5255,0.016745956232159846,7.416325415898761e-06,Yellow,0.024725259507609537,0.23011618087308836,-2.4889570302777106,-2.0811705499545785,1.0,0.016745956232159846,0.038820171265461466,0.06679352997145575,0.1170313986679353
TLT,5696,2,2,0.00035112359550561797,44.96343494726153,5696,0.011235955056179775,0.35793621366632056,Green,0.020250027351323738,0.11065979353730958,-2.3579300680602415,-2.2941054201051454,1.0,0.011235955056179775,0.029845505617977528,0.058110955056179775,0.1074438202247191
USDJPY,6553,1,1,0.00015260186174271325,7.099189478614845,6553,0.011597741492446207,0.20489287561368275,Green,0.015872143445957214,0.3934872318169396,-2.5252059235376825,-2.3787046447542277,1.0,0.011597741492446207,0.02746833511368839,0.0529528460247215,0.10453227529375858
WTI,6166,0,0,0.0,13.236114194640482,6166,0.01719104768083036,2.6282520781961694e-07,Yellow,0.05545026914073983,0.4066666191350683,-2.435901325327135,-2.205165534303366,1.0,0.01719104768083036,0.03259811871553681,0.06081738566331495,0.11157963023029517
