series,asset,n,pihat,p_kupiec,TL,width001,implied_z,scale
superseded,SP500,6340,0.004100946372239748,8.57649383734227e-08,Green,0.035449746981331715,-3.3649299989072756,-2.965891924162132
corrected,SP500,6340,0.024605678233438486,0.0,Yellow,0.023642017404972203,-2.3263478740408408,-1.9711181714602442
superseded,STOXX,5255,0.004567078972407232,9.357698345535681e-06,Green,0.03409216415556058,-3.3649299989072756,-2.901254080393249
corrected,STOXX,5255,0.02226450999048525,1.4210854715202004e-14,Yellow,0.02300908795144463,-2.3263478740408408,-1.9465266329043638
superseded,GDAXI,6404,0.0035915053091817614,2.9140593271748116e-09,Green,0.04287296706575134,-3.3649299989072756,-3.003037153712846
corrected,GDAXI,6404,0.022017489069331667,1.1102230246251565e-16,Yellow,0.02887839095178329,-2.3263478740408408,-2.0157899541467805
superseded,FCHI,6448,0.004032258064516129,4.405856846023681e-08,Green,0.0413930686330093,-3.3649299989072756,-2.9739589649225575
corrected,FCHI,6448,0.020471464019851116,1.3222756223285614e-13,Yellow,0.028299991110495918,-2.3263478740408408,-2.005752559019679
superseded,FTSE100,6370,0.004395604395604396,4.2643647901741133e-07,Green,0.03282177139989344,-3.3649299989072756,-2.970045070558994
corrected,FTSE100,6370,0.02197802197802198,1.1102230246251565e-16,Yellow,0.022576916655946327,-2.3263478740408408,-2.0178615451963173
superseded,ICLN,4209,0.004514136374435733,6.0606415446917694e-05,Green,0.054238997410863785,-3.3649299989072756,-3.1806770652007472
corrected,ICLN,4209,0.019719648372535044,2.2084987394421773e-08,Yellow,0.036744215874195275,-2.3263478740408408,-2.151019489859574
superseded,NIKKEI,6168,0.004377431906614786,5.896013982598092e-07,Green,0.04552757026784621,-3.3649299989072756,-3.039385925076227
corrected,NIKKEI,6168,0.020590142671854734,2.5768276401549883e-13,Yellow,0.031036970667931107,-2.3263478740408408,-2.0498450494181615
superseded,HSI,6206,0.003222687721559781,4.000737519049835e-10,Green,0.043795288660636235,-3.3649299989072756,-3.1031965637819114
corrected,HSI,6206,0.02030293264582662,8.135714324453147e-13,Yellow,0.030081700557182494,-2.3263478740408408,-2.091960888741619
superseded,BOVESPA,6242,0.003043896187119513,9.385814347950827e-11,Green,0.05174165572960376,-3.3649299989072756,-3.133007813560127
corrected,BOVESPA,6242,0.01682153156039731,8.033759676395746e-07,Yellow,0.03525220095912606,-2.3263478740408408,-2.1021831874885986
superseded,NIFTY,4288,0.0025652985074626866,5.323052887362678e-09,Green,0.03612607781486149,-3.3649299989072756,-3.0695327159073695
corrected,NIFTY,4288,0.018889925373134327,1.8900621334694279e-07,Yellow,0.024347317339873175,-2.3263478740408408,-2.00129279694409
superseded,ASX200,6371,0.003767069533825145,1.0174224907011364e-08,Green,0.02947602647508314,-3.3649299989072756,-3.081020313627014
corrected,ASX200,6371,0.02275937843352692,0.0,Yellow,0.02012422754391155,-2.3263478740408408,-2.0589459463569
superseded,CBU0,3515,0.007965860597439544,0.2088824649275982,Green,0.01172514362116038,,-3.2151588456132147
corrected,CBU0,3515,0.01678520625889047,0.00022890681739551333,Yellow,0.008426389840596024,-2.3263478740408408,-2.257142962535698
superseded,TLT,5696,0.0014044943820224719,3.3306690738754696e-16,Green,0.02899888414357416,-3.3649299989072756,-3.2817310693580524
corrected,TLT,5696,0.013167134831460673,0.021964425497911222,Green,0.01976857856318035,-2.3263478740408408,-2.2334981057906176
superseded,IBGL,4348,0.004139834406623735,1.081900358945731e-05,Green,0.028512673119275755,-3.3649299989072756,-3.278119097831444
corrected,IBGL,4348,0.019319227230910764,4.3804202598529685e-08,Yellow,0.01882787336098671,-2.3263478740408408,-2.193649635255114
superseded,DJCI,2572,0.0038880248833592537,0.0003769391545959122,Green,0.030133649754554875,-3.3649299989072756,-3.188913803899022
corrected,DJCI,2572,0.019440124416796267,2.0441923274328033e-05,Yellow,0.021260464815232836,-2.3263478740408408,-2.2479851644684703
superseded,GOLD,6159,0.005033284624127293,1.4751144087665757e-05,Green,0.03682436174681837,-3.3649299989072756,-3.4030872649091437
corrected,GOLD,6159,0.022406234778373113,0.0,Yellow,0.023879254787577023,-2.3263478740408408,-2.2202022398792547
superseded,WTI,6166,0.004865390853065196,6.7682702016291785e-06,Green,0.07690337907844359,-3.3649299989072756,-3.1323962323033383
corrected,WTI,6166,0.019948102497567306,4.687583654572336e-12,Yellow,0.052580561182926124,-2.3263478740408408,-2.1341878636897973
superseded,NATGAS,6164,0.0022712524334847503,1.8596235662471372e-13,Green,0.11683138715804813,-3.3649299989072756,-3.1380043512695353
corrected,NATGAS,6164,0.014600908500973394,0.0006805007179854217,Green,0.08018305970257987,-2.3263478740408408,-2.1439838897875374
superseded,BTC,3950,0.005822784810126582,0.0042065644166873195,Green,0.12129717310607042,-3.3649299989072756,-3.299310324665323
corrected,BTC,3950,0.02329113924050633,8.018030683842881e-13,Yellow,0.07438515495390122,-2.3263478740408408,-2.069115074859553
superseded,ETH,2800,0.005357142857142857,0.0067577953019432035,Green,0.15193453267629212,-3.3649299989072756,-3.3436961062184043
corrected,ETH,2800,0.02,2.848090152607341e-06,Yellow,0.09569047568841077,-2.3263478740408408,-2.139461863638473
superseded,EURUSD,5533,0.00289174046629315,3.750768584609432e-10,Green,0.01961444506513839,-3.3649299989072756,-3.2214041579604924
corrected,EURUSD,5533,0.01427796855232243,0.002653840503863414,Green,0.013588193831258586,-2.3263478740408408,-2.2062911426680127
superseded,GBPUSD,5545,0.003787195671776375,1.0201051769964664e-07,Green,0.018613205150754573,-3.3649299989072756,-3.221247463581102
corrected,GBPUSD,5545,0.018935978358881875,2.6450328594052053e-09,Yellow,0.012882112874659804,-2.3263478740408408,-2.2126087900774856
superseded,USDJPY,6553,0.0051884632992522505,1.6164729961576363e-05,Green,0.021476486384098676,-3.3649299989072756,-3.2493286913473733
corrected,USDJPY,6553,0.01678620479169846,4.857883921793871e-07,Yellow,0.014569427099449897,-2.3263478740408408,-2.193452272868182
superseded,AUDUSD,4909,0.0034630270930943166,1.0196074373691744e-07,Green,0.02370790487847323,-3.3649299989072756,-3.1661191398973565
corrected,AUDUSD,4909,0.017315135465471584,3.065209044250672e-06,Yellow,0.016389984919271912,-2.3263478740408408,-2.188832516063598
