asset,series,n,pihat,p_kupiec,TL,implied_z,scale,width001,frac_monotone,pihat_0.01,pihat_0.025,pihat_0.05,pihat_0.1
SP500,shipped,6340,0.004100946372239748,8.57649383734227e-08,Green,-3.3649299989072756,-2.965891924162132,0.035449746981331715,1.0,0.004100946372239748,0.012618296529968454,0.030914826498422712,0.06987381703470032
SP500,normal,6340,0.024605678233438486,0.0,Yellow,-2.281127613523461,-1.9711181714602442,0.023642017404972203,1.0,0.024605678233438486,0.038958990536277605,0.062302839116719244,0.10315457413249211
SP500,skewt,6340,0.014353312302839117,0.0010739349738647652,Green,-2.6166874185930533,-2.1946512098371738,0.02746287386273617,1.0,0.014353312302839117,0.032334384858044164,0.05615141955835962,0.10615141955835962
STOXX,shipped,5255,0.004567078972407232,9.357698345535681e-06,Green,-3.3649299989072756,-2.901254080393249,0.03409216415556058,1.0,0.004567078972407232,0.013320647002854425,0.03292102759276879,0.0725023786869648
STOXX,normal,5255,0.02226450999048525,1.4210854715202004e-14,Yellow,-2.278584439655697,-1.9465266329043638,0.02300908795144463,1.0,0.02226450999048525,0.04034253092293054,0.06203615604186489,0.10256898192197907
STOXX,skewt,5255,0.012940057088487155,0.040449664481753356,Green,-2.6367032864537974,-2.268261986614734,0.026978292520819014,1.0,0.012940057088487155,0.029876308277830638,0.057278782112274024,0.10447193149381541
GDAXI,shipped,6404,0.0035915053091817614,2.9140593271748116e-09,Green,-3.3649299989072756,-3.003037153712846,0.04287296706575134,1.0,0.0035915053091817614,0.011711430356027484,0.03076202373516552,0.07495315427857589
GDAXI,normal,6404,0.022017489069331667,1.1102230246251565e-16,Yellow,-2.284908457190336,-2.0157899541467805,0.02887839095178329,1.0,0.022017489069331667,0.039038101186758274,0.06339787632729545,0.10555902560899438
GDAXI,skewt,6404,0.012336039975015615,0.06987976318958611,Green,-2.562583110796223,-2.294153120271966,0.03274504384696115,1.0,0.012336039975015615,0.03216739537788882,0.058244846970643346,0.10790131168019987
FCHI,shipped,6448,0.004032258064516129,4.405856846023681e-08,Green,-3.3649299989072756,-2.9739589649225575,0.0413930686330093,1.0,0.004032258064516129,0.01240694789081886,0.02977667493796526,0.07227047146401985
FCHI,normal,6448,0.020471464019851116,1.3222756223285614e-13,Yellow,-2.3003788413333126,-2.005752559019679,0.028299991110495918,1.0,0.020471464019851116,0.036445409429280394,0.059398263027295284,0.10127171215880894
FCHI,skewt,6448,0.01271712158808933,0.03535703343237928,Green,-2.5928227875159404,-2.2542110141470055,0.03207192080491297,1.0,0.01271712158808933,0.02838089330024814,0.05443548387096774,0.1011166253101737
