model,asset,method,n_cal,qV,positive_threshold_days,n_test,viol,pihat,p_kup,p_ind,p_cc,lr_uc,lr_ind,QS,width,TL
PatchTST-FM,ASX200,Raw,4356,0.004382597008243533,0,1868,40,0.021413276231263382,1.680583741231791e-05,0.0013514103221121388,5.59687934948892e-07,18.52082065718411,10.270952277943024,0.00036742199529585224,0.02380969634526898,Yellow
PatchTST-FM,ASX200,Static,4356,0.004382597008243533,0,1868,17,0.009100642398286937,0.6915963102427041,0.00029216371210631783,0.0013087673212656445,0.1573627033453393,13.119976418450932,0.00034898560057239326,0.028192293353512504,Green
PatchTST-FM,ASX200,Rolling250,4356,0.004382597008243533,0,1868,17,0.009100642398286937,0.6915963102427041,0.00029216371210631783,0.0013087673212656445,0.1573627033453393,13.119976418450932,0.00035751591051045304,0.030173935186924804,Green
Chronos-2,ASX200,Raw,4356,0.002354761746429332,0,1868,33,0.017665952890792293,0.0026576686388290857,0.0022629994614391294,0.0001035088667813818,9.028745112861593,9.32296144622427,0.0003576584318807916,0.025023795131342664,Yellow
Chronos-2,ASX200,Static,4356,0.002354761746429332,0,1868,20,0.010706638115631691,0.761529198789148,0.0008668927429156218,0.003726921741847481,0.09209603853567927,11.092249274127482,0.000345458113147848,0.027378556877772006,Green
Chronos-2,ASX200,Rolling250,4356,0.002354761746429332,0,1868,14,0.007494646680942184,0.25480907962356353,0.0034694277790761757,0.007301780427622081,1.2967426212334736,8.542531511507207,0.0003669297078206352,0.030739567268210408,Green
TS-ICL,ASX200,Raw,4356,0.001722757822221508,0,1868,27,0.014453961456102784,0.06969483266736515,0.0004228120536287819,0.00038610966416199546,3.290192925464062,12.428585324141409,0.00036769092622050144,0.02844740829143346,Green
TS-ICL,ASX200,Static,4356,0.001722757822221508,0,1868,16,0.008565310492505354,0.5228788321262499,0.00019344855223446539,0.0007841248920711444,0.40821119323599664,13.89367330514358,0.0003666513426573099,0.030170166113654973,Green
TS-ICL,ASX200,Rolling250,4356,0.001722757822221508,0,1868,15,0.008029978586723769,0.3755490816775118,0.00474104812312279,0.012519845038308042,0.7852211044168618,7.975659476620592,0.00038525192798446117,0.032229895273731705,Green
Moirai-1.1,ASX200,Raw,4356,0.0019832767592025576,0,1868,40,0.021413276231263382,1.680583741231791e-05,0.062368585613398184,1.6751272999566342e-05,18.52082065718411,3.4732519480297697,0.0004174644944731861,0.02515249191897042,Yellow
Moirai-1.1,ASX200,Static,4356,0.0019832767592025576,0,1868,26,0.013918629550321198,0.10805403467309115,0.05200243556188387,0.04162425821970111,2.582453885274525,3.7756904175015507,0.0004009666017294005,0.027135768678172974,Green
Moirai-1.1,ASX200,Rolling250,4356,0.0019832767592025576,0,1868,16,0.008565310492505354,0.5228788321262499,0.1257590691263792,0.2525489846167731,0.40821119323599664,2.344088907963453,0.00039244809966625305,0.03248630992531187,Green
Lag-Llama,ASX200,Raw,4356,0.00723108265208303,0,1868,77,0.04122055674518201,2.8272007188222758e-24,0.4624664599063223,2.7759286064282366e-23,103.33702502143355,0.5399186079557694,0.0004768263912883422,0.01957418406962535,Red
Lag-Llama,ASX200,Static,4356,0.00723108265208303,0,1868,27,0.014453961456102784,0.06969483266736515,0.40612830763013097,0.1366749919014859,3.290192925464062,0.6901060614457037,0.00036822803370916844,0.02680526672170838,Green
Lag-Llama,ASX200,Rolling250,4356,0.00723108265208303,0,1868,13,0.006959314775160599,0.162336879021973,0.6693955192997445,0.3439304281863091,1.952321755365725,0.18231001604866037,0.0003905176057683403,0.03350913686885491,Green
GJR-GARCH,ASX200,Raw,4356,0.0028367806627021524,0,1868,53,0.028372591006423982,6.918869368124776e-11,0.07921729725273155,1.2392682192082532e-10,42.54177242175382,3.0808873189019437,0.0003596936880429737,0.01953873664149465,Yellow
