model,asset,original_n,common_n,original_n_cal,common_n_cal,original_first,common_first,original_test_first,common_test_first,common_calibration_last,last
PatchTST-FM,ASX200,6224,6224,4356,4356,2002-01-16,2002-01-16,2019-04-12,2019-04-12,2019-04-11,2026-08-31
Chronos-2,ASX200,6224,6224,4356,4356,2002-01-16,2002-01-16,2019-04-12,2019-04-12,2019-04-11,2026-08-31
TS-ICL,ASX200,6224,6224,4356,4356,2002-01-16,2002-01-16,2019-04-12,2019-04-12,2019-04-11,2026-08-31
Moirai-1.1,ASX200,6224,6224,4356,4356,2002-01-16,2002-01-16,2019-04-12,2019-04-12,2019-04-11,2026-08-31
Lag-Llama,ASX200,6224,6224,4356,4356,2002-01-16,2002-01-16,2019-04-12,2019-04-12,2019-04-11,2026-08-31
GJR-GARCH,ASX200,6486,6224,4540,4356,2001-01-02,2002-01-16,2018-12-19,2019-04-12,2019-04-11,2026-08-31
GJR-GARCH-t,ASX200,6486,6224,4540,4356,2001-01-02,2002-01-16,2018-12-19,2019-04-12,2019-04-11,2026-08-31
GARCH-N,ASX200,6486,6224,4540,4356,2001-01-02,2002-01-16,2018-12-19,2019-04-12,2019-04-11,2026-08-31
Hist-Sim,ASX200,6486,6224,4540,4356,2001-01-02,2002-01-16,2018-12-19,2019-04-12,2019-04-11,2026-08-31
EWMA,ASX200,6486,6224,4540,4356,2001-01-02,2002-01-16,2018-12-19,2019-04-12,2019-04-11,2026-08-31
PatchTST-FM,AUDUSD,4765,4765,3335,3335,2008-05-09,2008-05-09,2021-03-02,2021-03-02,2021-03-01,2026-08-31
Chronos-2,AUDUSD,4765,4765,3335,3335,2008-05-09,2008-05-09,2021-03-02,2021-03-02,2021-03-01,2026-08-31
TS-ICL,AUDUSD,4765,4765,3335,3335,2008-05-09,2008-05-09,2021-03-02,2021-03-02,2021-03-01,2026-08-31
Moirai-1.1,AUDUSD,4765,4765,3335,3335,2008-05-09,2008-05-09,2021-03-02,2021-03-02,2021-03-01,2026-08-31
Lag-Llama,AUDUSD,4765,4765,3335,3335,2008-05-09,2008-05-09,2021-03-02,2021-03-02,2021-03-01,2026-08-31
GJR-GARCH,AUDUSD,5027,4765,3518,3335,2007-05-02,2008-05-09,2020-11-11,2021-03-02,2021-03-01,2026-08-31
GJR-GARCH-t,AUDUSD,5027,4765,3518,3335,2007-05-02,2008-05-09,2020-11-11,2021-03-02,2021-03-01,2026-08-31
GARCH-N,AUDUSD,5027,4765,3518,3335,2007-05-02,2008-05-09,2020-11-11,2021-03-02,2021-03-01,2026-08-31
Hist-Sim,AUDUSD,5027,4765,3518,3335,2007-05-02,2008-05-09,2020-11-11,2021-03-02,2021-03-01,2026-08-31
EWMA,AUDUSD,5027,4765,3518,3335,2007-05-02,2008-05-09,2020-11-11,2021-03-02,2021-03-01,2026-08-31
PatchTST-FM,BOVESPA,6094,6094,4265,4265,2002-01-31,2002-01-31,2019-04-29,2019-04-29,2019-04-26,2026-08-31
Chronos-2,BOVESPA,6094,6094,4265,4265,2002-01-31,2002-01-31,2019-04-29,2019-04-29,2019-04-26,2026-08-31
TS-ICL,BOVESPA,6094,6094,4265,4265,2002-01-31,2002-01-31,2019-04-29,2019-04-29,2019-04-26,2026-08-31
Moirai-1.1,BOVESPA,6094,6094,4265,4265,2002-01-31,2002-01-31,2019-04-29,2019-04-29,2019-04-26,2026-08-31
Lag-Llama,BOVESPA,6094,6094,4265,4265,2002-01-31,2002-01-31,2019-04-29,2019-04-29,2019-04-26,2026-08-31
GJR-GARCH,BOVESPA,6356,6094,4449,4265,2001-01-05,2002-01-31,2019-01-03,2019-04-29,2019-04-26,2026-08-31
GJR-GARCH-t,BOVESPA,6356,6094,4449,4265,2001-01-05,2002-01-31,2019-01-03,2019-04-29,2019-04-26,2026-08-31
GARCH-N,BOVESPA,6356,6094,4449,4265,2001-01-05,2002-01-31,2019-01-03,2019-04-29,2019-04-26,2026-08-31
Hist-Sim,BOVESPA,6356,6094,4449,4265,2001-01-05,2002-01-31,2019-01-03,2019-04-29,2019-04-26,2026-08-31
EWMA,BOVESPA,6356,6094,4449,4265,2001-01-05,2002-01-31,2019-01-03,2019-04-29,2019-04-26,2026-08-31
PatchTST-FM,BTC,3854,3854,2697,2697,2016-02-12,2016-02-12,2023-07-02,2023-07-02,2023-07-01,2026-08-31
Chronos-2,BTC,3854,3854,2697,2697,2016-02-12,2016-02-12,2023-07-02,2023-07-02,2023-07-01,2026-08-31
TS-ICL,BTC,3854,3854,2697,2697,2016-02-12,2016-02-12,2023-07-02,2023-07-02,2023-07-01,2026-08-31
Moirai-1.1,BTC,3854,3854,2697,2697,2016-02-12,2016-02-12,2023-07-02,2023-07-02,2023-07-01,2026-08-31
Lag-Llama,BTC,3854,3854,2697,2697,2016-02-12,2016-02-12,2023-07-02,2023-07-02,2023-07-01,2026-08-31
GJR-GARCH,BTC,4116,3854,2881,2697,2015-05-26,2016-02-12,2023-04-15,2023-07-02,2023-07-01,2026-08-31
GJR-GARCH-t,BTC,4116,3854,2881,2697,2015-05-26,2016-02-12,2023-04-15,2023-07-02,2023-07-01,2026-08-31
GARCH-N,BTC,4116,3854,2881,2697,2015-05-26,2016-02-12,2023-04-15,2023-07-02,2023-07-01,2026-08-31
Hist-Sim,BTC,4116,3854,2881,2697,2015-05-26,2016-02-12,2023-04-15,2023-07-02,2023-07-01,2026-08-31
EWMA,BTC,4116,3854,2881,2697,2015-05-26,2016-02-12,2023-04-15,2023-07-02,2023-07-01,2026-08-31
PatchTST-FM,CBU0,3366,3366,2356,2356,2013-05-01,2013-05-01,2022-08-26,2022-08-26,2022-08-25,2026-08-28
Chronos-2,CBU0,3366,3366,2356,2356,2013-05-01,2013-05-01,2022-08-26,2022-08-26,2022-08-25,2026-08-28
TS-ICL,CBU0,3366,3366,2356,2356,2013-05-01,2013-05-01,2022-08-26,2022-08-26,2022-08-25,2026-08-28
Moirai-1.1,CBU0,3366,3366,2356,2356,2013-05-01,2013-05-01,2022-08-26,2022-08-26,2022-08-25,2026-08-28
Lag-Llama,CBU0,3366,3366,2356,2356,2013-05-01,2013-05-01,2022-08-26,2022-08-26,2022-08-25,2026-08-28
GJR-GARCH,CBU0,3628,3366,2539,2356,2012-03-06,2013-05-01,2022-05-05,2022-08-26,2022-08-25,2026-08-28
GJR-GARCH-t,CBU0,3628,3366,2539,2356,2012-03-06,2013-05-01,2022-05-05,2022-08-26,2022-08-25,2026-08-28
GARCH-N,CBU0,3628,3366,2539,2356,2012-03-06,2013-05-01,2022-05-05,2022-08-26,2022-08-25,2026-08-28
Hist-Sim,CBU0,3628,3366,2539,2356,2012-03-06,2013-05-01,2022-05-05,2022-08-26,2022-08-25,2026-08-28
EWMA,CBU0,3628,3366,2539,2356,2012-03-06,2013-05-01,2022-05-05,2022-08-26,2022-08-25,2026-08-28
PatchTST-FM,DJCI,2547,2547,1782,1782,2016-07-18,2016-07-18,2023-08-15,2023-08-15,2023-08-14,2026-08-31
Chronos-2,DJCI,2547,2547,1782,1782,2016-07-18,2016-07-18,2023-08-15,2023-08-15,2023-08-14,2026-08-31
TS-ICL,DJCI,2547,2547,1782,1782,2016-07-18,2016-07-18,2023-08-15,2023-08-15,2023-08-14,2026-08-31
Moirai-1.1,DJCI,2547,2547,1782,1782,2016-07-18,2016-07-18,2023-08-15,2023-08-15,2023-08-14,2026-08-31
Lag-Llama,DJCI,2547,2547,1782,1782,2016-07-18,2016-07-18,2023-08-15,2023-08-15,2023-08-14,2026-08-31
GJR-GARCH,DJCI,2809,2547,1966,1782,2015-07-02,2016-07-18,2023-04-24,2023-08-15,2023-08-14,2026-08-31
GJR-GARCH-t,DJCI,2809,2547,1966,1782,2015-07-02,2016-07-18,2023-04-24,2023-08-15,2023-08-14,2026-08-31
GARCH-N,DJCI,2809,2547,1966,1782,2015-07-02,2016-07-18,2023-04-24,2023-08-15,2023-08-14,2026-08-31
Hist-Sim,DJCI,2809,2547,1966,1782,2015-07-02,2016-07-18,2023-04-24,2023-08-15,2023-08-14,2026-08-31
EWMA,DJCI,2809,2547,1966,1782,2015-07-02,2016-07-18,2023-04-24,2023-08-15,2023-08-14,2026-08-31
PatchTST-FM,ETH,2705,2705,1893,1893,2019-04-06,2019-04-06,2024-06-11,2024-06-11,2024-06-10,2026-08-31
Chronos-2,ETH,2705,2705,1893,1893,2019-04-06,2019-04-06,2024-06-11,2024-06-11,2024-06-10,2026-08-31
TS-ICL,ETH,2705,2705,1893,1893,2019-04-06,2019-04-06,2024-06-11,2024-06-11,2024-06-10,2026-08-31
Moirai-1.1,ETH,2705,2705,1893,1893,2019-04-06,2019-04-06,2024-06-11,2024-06-11,2024-06-10,2026-08-31
Lag-Llama,ETH,2705,2705,1893,1893,2019-04-06,2019-04-06,2024-06-11,2024-06-11,2024-06-10,2026-08-31
GJR-GARCH,ETH,2967,2705,2076,1893,2018-07-18,2019-04-06,2024-03-24,2024-06-11,2024-06-10,2026-08-31
GJR-GARCH-t,ETH,2967,2705,2076,1893,2018-07-18,2019-04-06,2024-03-24,2024-06-11,2024-06-10,2026-08-31
GARCH-N,ETH,2967,2705,2076,1893,2018-07-18,2019-04-06,2024-03-24,2024-06-11,2024-06-10,2026-08-31
Hist-Sim,ETH,2967,2705,2076,1893,2018-07-18,2019-04-06,2024-03-24,2024-06-11,2024-06-10,2026-08-31
EWMA,ETH,2967,2705,2076,1893,2018-07-18,2019-04-06,2024-03-24,2024-06-11,2024-06-10,2026-08-31
PatchTST-FM,EURUSD,5389,5389,3772,3772,2005-11-21,2005-11-21,2020-06-12,2020-06-12,2020-06-11,2026-08-31
Chronos-2,EURUSD,5389,5389,3772,3772,2005-11-21,2005-11-21,2020-06-12,2020-06-12,2020-06-11,2026-08-31
TS-ICL,EURUSD,5389,5389,3772,3772,2005-11-21,2005-11-21,2020-06-12,2020-06-12,2020-06-11,2026-08-31
Moirai-1.1,EURUSD,5389,5389,3772,3772,2005-11-21,2005-11-21,2020-06-12,2020-06-12,2020-06-11,2026-08-31
Lag-Llama,EURUSD,5389,5389,3772,3772,2005-11-21,2005-11-21,2020-06-12,2020-06-12,2020-06-11,2026-08-31
GJR-GARCH,EURUSD,5651,5389,3955,3772,2004-11-17,2005-11-21,2020-02-24,2020-06-12,2020-06-11,2026-08-31
GJR-GARCH-t,EURUSD,5651,5389,3955,3772,2004-11-17,2005-11-21,2020-02-24,2020-06-12,2020-06-11,2026-08-31
GARCH-N,EURUSD,5651,5389,3955,3772,2004-11-17,2005-11-21,2020-02-24,2020-06-12,2020-06-11,2026-08-31
Hist-Sim,EURUSD,5651,5389,3955,3772,2004-11-17,2005-11-21,2020-02-24,2020-06-12,2020-06-11,2026-08-31
EWMA,EURUSD,5651,5389,3955,3772,2004-11-17,2005-11-21,2020-02-24,2020-06-12,2020-06-11,2026-08-31
PatchTST-FM,FCHI,6301,6301,4410,4410,2002-01-11,2002-01-11,2019-04-11,2019-04-11,2019-04-10,2026-08-31
Chronos-2,FCHI,6301,6301,4410,4410,2002-01-11,2002-01-11,2019-04-11,2019-04-11,2019-04-10,2026-08-31
TS-ICL,FCHI,6301,6301,4410,4410,2002-01-11,2002-01-11,2019-04-11,2019-04-11,2019-04-10,2026-08-31
Moirai-1.1,FCHI,6301,6301,4410,4410,2002-01-11,2002-01-11,2019-04-11,2019-04-11,2019-04-10,2026-08-31
Lag-Llama,FCHI,6301,6301,4410,4410,2002-01-11,2002-01-11,2019-04-11,2019-04-11,2019-04-10,2026-08-31
GJR-GARCH,FCHI,6563,6301,4594,4410,2000-12-28,2002-01-11,2018-12-19,2019-04-11,2019-04-10,2026-08-31
GJR-GARCH-t,FCHI,6563,6301,4594,4410,2000-12-28,2002-01-11,2018-12-19,2019-04-11,2019-04-10,2026-08-31
GARCH-N,FCHI,6563,6301,4594,4410,2000-12-28,2002-01-11,2018-12-19,2019-04-11,2019-04-10,2026-08-31
Hist-Sim,FCHI,6563,6301,4594,4410,2000-12-28,2002-01-11,2018-12-19,2019-04-11,2019-04-10,2026-08-31
EWMA,FCHI,6563,6301,4594,4410,2000-12-28,2002-01-11,2018-12-19,2019-04-11,2019-04-10,2026-08-31
PatchTST-FM,FTSE100,6221,6221,4354,4354,2002-01-14,2002-01-14,2019-04-05,2019-04-05,2019-04-04,2026-08-28
Chronos-2,FTSE100,6221,6221,4354,4354,2002-01-14,2002-01-14,2019-04-05,2019-04-05,2019-04-04,2026-08-28
TS-ICL,FTSE100,6221,6221,4354,4354,2002-01-14,2002-01-14,2019-04-05,2019-04-05,2019-04-04,2026-08-28
Moirai-1.1,FTSE100,6221,6221,4354,4354,2002-01-14,2002-01-14,2019-04-05,2019-04-05,2019-04-04,2026-08-28
Lag-Llama,FTSE100,6221,6221,4354,4354,2002-01-14,2002-01-14,2019-04-05,2019-04-05,2019-04-04,2026-08-28
GJR-GARCH,FTSE100,6483,6221,4538,4354,2000-12-29,2002-01-14,2018-12-13,2019-04-05,2019-04-04,2026-08-28
GJR-GARCH-t,FTSE100,6483,6221,4538,4354,2000-12-29,2002-01-14,2018-12-13,2019-04-05,2019-04-04,2026-08-28
GARCH-N,FTSE100,6483,6221,4538,4354,2000-12-29,2002-01-14,2018-12-13,2019-04-05,2019-04-04,2026-08-28
Hist-Sim,FTSE100,6483,6221,4538,4354,2000-12-29,2002-01-14,2018-12-13,2019-04-05,2019-04-04,2026-08-28
EWMA,FTSE100,6483,6221,4538,4354,2000-12-29,2002-01-14,2018-12-13,2019-04-05,2019-04-04,2026-08-28
PatchTST-FM,GBPUSD,5401,5401,3780,3780,2005-11-21,2005-11-21,2020-06-08,2020-06-08,2020-06-05,2026-08-31
Chronos-2,GBPUSD,5401,5401,3780,3780,2005-11-21,2005-11-21,2020-06-08,2020-06-08,2020-06-05,2026-08-31
TS-ICL,GBPUSD,5401,5401,3780,3780,2005-11-21,2005-11-21,2020-06-08,2020-06-08,2020-06-05,2026-08-31
Moirai-1.1,GBPUSD,5401,5401,3780,3780,2005-11-21,2005-11-21,2020-06-08,2020-06-08,2020-06-05,2026-08-31
Lag-Llama,GBPUSD,5401,5401,3780,3780,2005-11-21,2005-11-21,2020-06-08,2020-06-08,2020-06-05,2026-08-31
GJR-GARCH,GBPUSD,5663,5401,3964,3780,2004-11-17,2005-11-21,2020-02-19,2020-06-08,2020-06-05,2026-08-31
GJR-GARCH-t,GBPUSD,5663,5401,3964,3780,2004-11-17,2005-11-21,2020-02-19,2020-06-08,2020-06-05,2026-08-31
GARCH-N,GBPUSD,5663,5401,3964,3780,2004-11-17,2005-11-21,2020-02-19,2020-06-08,2020-06-05,2026-08-31
Hist-Sim,GBPUSD,5663,5401,3964,3780,2004-11-17,2005-11-21,2020-02-19,2020-06-08,2020-06-05,2026-08-31
EWMA,GBPUSD,5663,5401,3964,3780,2004-11-17,2005-11-21,2020-02-19,2020-06-08,2020-06-05,2026-08-31
PatchTST-FM,GDAXI,6257,6257,4379,4379,2002-01-10,2002-01-10,2019-04-10,2019-04-10,2019-04-09,2026-08-31
Chronos-2,GDAXI,6257,6257,4379,4379,2002-01-10,2002-01-10,2019-04-10,2019-04-10,2019-04-09,2026-08-31
TS-ICL,GDAXI,6257,6257,4379,4379,2002-01-10,2002-01-10,2019-04-10,2019-04-10,2019-04-09,2026-08-31
Moirai-1.1,GDAXI,6257,6257,4379,4379,2002-01-10,2002-01-10,2019-04-10,2019-04-10,2019-04-09,2026-08-31
Lag-Llama,GDAXI,6257,6257,4379,4379,2002-01-10,2002-01-10,2019-04-10,2019-04-10,2019-04-09,2026-08-31
GJR-GARCH,GDAXI,6519,6257,4563,4379,2000-12-27,2002-01-10,2018-12-14,2019-04-10,2019-04-09,2026-08-31
GJR-GARCH-t,GDAXI,6519,6257,4563,4379,2000-12-27,2002-01-10,2018-12-14,2019-04-10,2019-04-09,2026-08-31
GARCH-N,GDAXI,6519,6257,4563,4379,2000-12-27,2002-01-10,2018-12-14,2019-04-10,2019-04-09,2026-08-31
Hist-Sim,GDAXI,6519,6257,4563,4379,2000-12-27,2002-01-10,2018-12-14,2019-04-10,2019-04-09,2026-08-31
EWMA,GDAXI,6519,6257,4563,4379,2000-12-27,2002-01-10,2018-12-14,2019-04-10,2019-04-09,2026-08-31
PatchTST-FM,GLD,4966,4966,3476,3476,2006-12-01,2006-12-01,2020-09-24,2020-09-24,2020-09-23,2026-08-31
Chronos-2,GLD,4966,4966,3476,3476,2006-12-01,2006-12-01,2020-09-24,2020-09-24,2020-09-23,2026-08-31
TS-ICL,GLD,4966,4966,3476,3476,2006-12-01,2006-12-01,2020-09-24,2020-09-24,2020-09-23,2026-08-31
