comparison,lhs,rhs,block_length,estimate_x10000,percentile_lo_x10000,percentile_hi_x10000,simultaneous_lo_x10000,simultaneous_hi_x10000,critical,draws
PatchTST Static - Raw,PatchTST-FM/Static,PatchTST-FM/Raw,20,-0.2016245586259583,-0.42973237417831905,0.0034733786917013365,-0.4916847251407427,0.08843560788882616,2.6151516642135952,999
PatchTST Rolling250 - Raw,PatchTST-FM/Rolling250,PatchTST-FM/Raw,20,0.05609794902050602,-0.22078191550545545,0.31610216039106687,-0.31642516836446727,0.4286210664054793,2.6151516642135952,999
Chronos-2 Static - Raw,Chronos-2/Static,Chronos-2/Raw,20,-0.021469262887490077,-0.08165171334591219,0.03079399161815852,-0.09640233159909023,0.05346380582411006,2.6151516642135952,999
Chronos-2 Rolling250 - Raw,Chronos-2/Rolling250,Chronos-2/Raw,20,0.25037173973309335,0.09584245144129495,0.39006251323935404,0.05321073765456493,0.4475327418116217,2.6151516642135952,999
PatchTST - Chronos-2 Raw,PatchTST-FM/Raw,Chronos-2/Raw,20,0.29827727751639777,0.07896694320043014,0.5693478665391705,-0.03394414391680172,0.6304986989495972,2.6151516642135952,999
PatchTST - Chronos-2 Static,PatchTST-FM/Static,Chronos-2/Static,20,0.11812198177792957,-0.008473178218653076,0.25899309878175925,-0.06018679176070411,0.29643075531656327,2.6151516642135952,999
TS-ICL Static - Raw,TS-ICL/Static,TS-ICL/Raw,20,0.010188171625034447,-0.031386403218305964,0.04914384222794198,-0.04447621159025355,0.06485255484032244,2.6151516642135952,999
TS-ICL Rolling250 - Raw,TS-ICL/Rolling250,TS-ICL/Raw,20,0.3224687876028431,0.1665478610721884,0.47641626117593067,0.11244525087741529,0.5324923243282709,2.6151516642135952,999
TS-ICL - PatchTST-FM Raw,TS-ICL/Raw,PatchTST-FM/Raw,20,-0.2659801029779974,-0.4431097936987309,-0.11037234335402286,-0.48958729992859834,-0.0423729060273965,2.6151516642135952,999
TS-ICL - PatchTST-FM Static,TS-ICL/Static,PatchTST-FM/Static,20,-0.054167372727004684,-0.15581303515841174,0.0695289700722731,-0.206952493295119,0.09861774784110962,2.6151516642135952,999
TS-ICL - Chronos-2 Raw,TS-ICL/Raw,Chronos-2/Raw,20,0.032297174538400364,-0.11784286651543989,0.24730806377051667,-0.20585900762673937,0.2704533567035401,2.6151516642135952,999
TS-ICL - Chronos-2 Static,TS-ICL/Static,Chronos-2/Static,20,0.0639546090509249,-0.09061545662366588,0.28037271052996937,-0.1808659355994654,0.3087751537013152,2.6151516642135952,999
PatchTST Static - Raw,PatchTST-FM/Static,PatchTST-FM/Raw,60,-0.2016245586259583,-0.44603289870220647,0.013235647948543294,-0.5147660394733632,0.11151692222144666,2.6814217592863736,999
PatchTST Rolling250 - Raw,PatchTST-FM/Rolling250,PatchTST-FM/Raw,60,0.05609794902050602,-0.24556921750629607,0.3611041677047157,-0.3646946722811009,0.47689057032211296,2.6814217592863736,999
Chronos-2 Static - Raw,Chronos-2/Static,Chronos-2/Raw,60,-0.021469262887490077,-0.08071001519023656,0.033384179316530906,-0.09868184118950277,0.055743315414522605,2.6814217592863736,999
Chronos-2 Rolling250 - Raw,Chronos-2/Rolling250,Chronos-2/Raw,60,0.25037173973309335,0.0815273024224378,0.4049399607726328,0.032166300730998014,0.46857717873518867,2.6814217592863736,999
PatchTST - Chronos-2 Raw,PatchTST-FM/Raw,Chronos-2/Raw,60,0.29827727751639777,0.0654992419568392,0.5701113393773223,-0.05967315393193664,0.6562277089647321,2.6814217592863736,999
PatchTST - Chronos-2 Static,PatchTST-FM/Static,Chronos-2/Static,60,0.11812198177792957,-0.00797357313161181,0.27887618893781696,-0.07147689713266925,0.3077208606885284,2.6814217592863736,999
TS-ICL Static - Raw,TS-ICL/Static,TS-ICL/Raw,60,0.010188171625034447,-0.03371506109019673,0.05203909635546208,-0.048861096838225364,0.06923744008829426,2.6814217592863736,999
TS-ICL Rolling250 - Raw,TS-ICL/Rolling250,TS-ICL/Raw,60,0.3224687876028431,0.14839344587872194,0.5002932116795893,0.08440634114088681,0.5605312340647994,2.6814217592863736,999
TS-ICL - PatchTST-FM Raw,TS-ICL/Raw,PatchTST-FM/Raw,60,-0.2659801029779974,-0.4476588067338373,-0.09735202290182185,-0.5052047542247621,-0.0267554517312327,2.6814217592863736,999
TS-ICL - PatchTST-FM Static,TS-ICL/Static,PatchTST-FM/Static,60,-0.054167372727004684,-0.16619723379321424,0.06623377292770835,-0.2134140318048984,0.10507928635088903,2.6814217592863736,999
TS-ICL - Chronos-2 Raw,TS-ICL/Raw,Chronos-2/Raw,60,0.032297174538400364,-0.12201258339720263,0.2501606878985433,-0.22173054951042284,0.2863248985872236,2.6814217592863736,999
TS-ICL - Chronos-2 Static,TS-ICL/Static,Chronos-2/Static,60,0.0639546090509249,-0.09747936130332983,0.3021065292272754,-0.20065946965441486,0.32856868775626463,2.6814217592863736,999
