model,method,assets,observations,violations,pi_mean,pi_pooled,QS,QS_x10000,width,kupiec_rejections,independence_rejections,independence_available,conditional_rejections,conditional_available,scaled_green,scaled_yellow,scaled_red
PatchTST-FM,Raw,24,36252,658,0.018215495703363577,0.018150722718746553,0.0004957841437730327,4.957841437730328,0.030188897253615416,18,8,24,20,24,5,19,0
PatchTST-FM,Static,24,36252,334,0.00915232597953744,0.009213284784287764,0.0004756216879104371,4.756216879104371,0.03665132145202451,1,5,24,5,24,24,0,0
PatchTST-FM,Rolling250,24,36252,341,0.009421021735409353,0.009406377579168046,0.0005013939386750837,5.013939386750836,0.04011701258309509,0,2,24,2,24,24,0,0
Chronos-2,Raw,24,36252,490,0.013484331866854604,0.013516495641619773,0.00046595641602139307,4.659564160213931,0.03445060045293236,6,6,24,7,24,18,6,0
Chronos-2,Static,24,36252,367,0.010191415814753323,0.01012357938872338,0.0004638094897326441,4.638094897326441,0.036666153800136374,1,5,24,5,24,23,1,0
Chronos-2,Rolling250,24,36252,306,0.00857692862725158,0.008440913604766634,0.0004909935899947026,4.909935899947026,0.041099596760273395,0,1,24,1,24,24,0,0
TS-ICL,Raw,24,36252,414,0.011394160797230247,0.011420059582919563,0.00046918613347523295,4.691861334752329,0.03479125261129846,1,5,24,4,24,23,1,0
TS-ICL,Static,24,36252,336,0.009330884397385879,0.009268454154253558,0.00047020495063773677,4.702049506377367,0.036217462712341844,1,5,24,4,24,23,1,0
TS-ICL,Rolling250,24,36252,333,0.009179907011744252,0.009185700099304866,0.0005014330122355174,5.014330122355174,0.040858881344421207,0,2,24,2,24,24,0,0
Moirai-1.1,Raw,24,36252,504,0.01380661186421558,0.013902681231380337,0.0005112614974651518,5.112614974651518,0.03449405501802044,9,1,24,7,24,17,7,0
Moirai-1.1,Static,24,36252,339,0.009143086567474312,0.00935120820920225,0.0005029645706593661,5.02964570659366,0.03888280341227776,5,1,24,3,24,24,0,0
Moirai-1.1,Rolling250,24,36252,293,0.007994277187598172,0.008082312699988966,0.0005224007772615788,5.224007772615788,0.04270071073449402,0,1,24,0,24,24,0,0
Lag-Llama,Raw,24,36252,1039,0.028454909942031505,0.028660487697230497,0.000565634681963566,5.65634681963566,0.029496158297071872,24,2,24,24,24,0,23,1
Lag-Llama,Static,24,36252,338,0.009106887777675056,0.009323623524219353,0.0005052307553950801,5.052307553950801,0.04073779519307866,2,0,24,1,24,24,0,0
Lag-Llama,Rolling250,24,36252,318,0.008740234676446213,0.008771929824561403,0.0005147889157786821,5.147889157786821,0.042518267681438245,0,0,24,0,24,24,0,0
GJR-GARCH,Raw,24,36252,712,0.019211391405507285,0.019640295707823018,0.0004598675034061745,4.598675034061745,0.0292505227017948,17,2,24,15,24,8,16,0
GJR-GARCH,Static,24,36252,370,0.009778547364084417,0.010206333443672073,0.00044379483466217034,4.437948346621703,0.034819753929038626,4,4,24,4,24,23,1,0
GJR-GARCH,Rolling250,24,36252,296,0.008209014742934772,0.008165066754937658,0.0004675927972074442,4.675927972074442,0.0387390053900925,0,1,24,1,24,24,0,0
GJR-GARCH-t,Raw,24,36252,544,0.014636533156966272,0.015006068630696237,0.00045026856117829375,4.502685611782938,0.032073102736943526,11,2,24,9,24,14,10,0
GJR-GARCH-t,Static,24,36252,358,0.00952609103586023,0.009875317223877304,0.00044701873280953824,4.470187328095382,0.0353092785164312,4,2,24,1,24,23,1,0
GJR-GARCH-t,Rolling250,24,36252,301,0.008444388808111254,0.008302990179852147,0.00047443521251863235,4.744352125186324,0.039140745221583055,0,1,24,1,24,24,0,0
GARCH-N,Raw,24,36252,730,0.01978075473279381,0.02013682003751517,0.00047354372639124635,4.735437263912464,0.029464110506483825,17,7,24,17,24,7,17,0
GARCH-N,Static,24,36252,358,0.00942871012341033,0.009875317223877304,0.00045198262839112437,4.519826283911244,0.035753199506895934,5,4,24,6,24,23,1,0
GARCH-N,Rolling250,24,36252,305,0.008478513496791351,0.008413328919783736,0.00047405476263501803,4.74054762635018,0.039185557662005766,1,3,24,2,24,24,0,0
Hist-Sim,Raw,24,36252,529,0.014401424748948526,0.014592298355952774,0.0005149574236724908,5.1495742367249075,0.03406770124825744,9,13,24,12,24,15,9,0
Hist-Sim,Static,24,36252,346,0.009399739360166592,0.009544301004082533,0.000508846808318953,5.08846808318953,0.03804449432382533,1,11,24,12,24,24,0,0
Hist-Sim,Rolling250,24,36252,475,0.012868910402741665,0.01310272536687631,0.0005567601841280415,5.567601841280415,0.042818952285759874,5,7,24,8,24,21,3,0
EWMA,Raw,24,36252,739,0.02006466570325184,0.020385082202361248,0.00048349780719319645,4.834978071931965,0.029515214326987126,21,5,24,19,24,4,20,0
EWMA,Static,24,36252,404,0.010704916141676074,0.011144212733090589,0.00046119100361829935,4.6119100361829934,0.03544378252877864,5,5,24,10,24,21,3,0
EWMA,Rolling250,24,36252,300,0.00831900976691162,0.00827540549486925,0.0004862259153773539,4.862259153773539,0.04032987028714222,0,2,24,1,24,24,0,0
