model,asset,n_cal,qV,indicated,cal_observations,viol,pihat,p_kup,p_ind,p_cc,lr_uc,lr_ind,QS,width,TL
PatchTST-FM,ASX200,4356,0.004382597008243533,True,4356,90,0.02066115702479339,6.247427617616058e-10,0.012965789683298926,2.2652305397489618e-10,38.242577105955704,6.173771679307151,0.0003368868295338574,0.02136923239076351,Yellow
Chronos-2,ASX200,4356,0.002354761746429332,True,4356,67,0.015381083562901745,0.0009401963849742421,0.022809863936526946,0.0003151835980468535,10.941783189490565,5.18292728648521,0.0003127232789737575,0.022539766296048206,Green
TS-ICL,ASX200,4356,0.001722757822221508,True,4356,62,0.014233241505968778,0.008287115257638417,0.07119047300654886,0.006018877584161353,6.970352881328246,3.255356088389135,0.0003135873527260328,0.023496868425793776,Green
Moirai-1.1,ASX200,4356,0.0019832767592025576,True,4356,64,0.014692378328741965,0.003621967620501579,0.9508672169010246,0.014494038380913123,8.464238969588784,0.0037967508977772013,0.00032442037389425623,0.024616312050771378,Green
Lag-Llama,ASX200,4356,0.00723108265208303,True,4356,144,0.03305785123966942,1.4128940539528544e-33,0.5716810242958805,1.8346942975977907e-32,145.83181229448383,0.3198779125082183,0.0004210173387640724,0.020654520439848865,Yellow
GJR-GARCH,ASX200,4356,0.0028367806627021524,True,4356,90,0.02066115702479339,6.247427617616058e-10,0.9174473402360692,4.936248615649825e-09,38.242577105955704,0.010743261591187547,0.0002941061942646941,0.020417469510121525,Yellow
GJR-GARCH-t,ASX200,4356,0.0021944984624532697,True,4356,82,0.018824609733700644,1.8281656697529558e-07,0.6340283874542626,1.1038482125661078e-06,27.206778755162574,0.22663746119633288,0.00029270296351050683,0.020920883687015075,Yellow
GARCH-N,ASX200,4356,0.0035527055428165224,True,4356,103,0.0236455463728191,1.4066785331845322e-14,0.34577044176861693,8.841499942778606e-14,59.224550617702604,0.8889189080487085,0.0003140471725886418,0.020237216833342,Yellow
Hist-Sim,ASX200,4356,0.0026695887990744287,True,4356,65,0.014921946740128558,0.0023434018904995675,0.002915168857071175,0.00011629143242377263,9.259005888460393,8.85981644963681,0.00034087444062546647,0.02375305051037746,Green
EWMA,ASX200,4356,0.003311090851315531,True,4356,89,0.020431588613406795,1.321742328639522e-09,0.4121257541145591,7.362882322328523e-09,36.78096874993561,0.6726599720385593,0.0003068866275165474,0.02044532481303259,Yellow
PatchTST-FM,AUDUSD,3335,0.0012603990851615659,False,3335,44,0.013193403298350824,0.07724220504641581,0.1377789954891221,0.06978805179122777,3.1219940919094356,2.2025908313755735,0.00025021128675312506,0.01884256891928602,Green
Chronos-2,AUDUSD,3335,0.0010785903284303375,False,3335,44,0.013193403298350824,0.07724220504641581,0.2779808975585927,0.11654655909420446,3.1219940919094356,1.1769347819654286,0.00024128176698873843,0.019205274784342682,Green
TS-ICL,AUDUSD,3335,-6.98581327832834e-05,False,3335,32,0.009595202398800599,0.8130118715531837,0.43095816189641234,0.7131267738602718,0.05595226954785604,0.6202398722969633,0.00025420617235758647,0.020915266765893132,Green
Moirai-1.1,AUDUSD,3335,0.0008843846966506176,False,3335,41,0.012293853073463269,0.19869902369950598,0.31228668275133575,0.26277805675835675,1.651911070198306,1.0209799172680505,0.00028547726526214164,0.0212714216400111,Green
Lag-Llama,AUDUSD,3335,0.004876360535021048,True,3335,103,0.03088455772113943,2.475793929167387e-22,0.010382157239088563,1.142026722550584e-22,94.48001521255924,6.5681198576954785,0.00035550954702768335,0.01696281655397227,Yellow
GJR-GARCH,AUDUSD,3335,0.00200182130113892,True,3335,55,0.01649175412293853,0.0005696666010852798,0.9081387065640443,0.002624293732375948,11.8725728814941,0.013314065452163959,0.00024871577670051715,0.017025504576832575,Yellow
GJR-GARCH-t,AUDUSD,3335,0.0019233486758538244,True,3335,52,0.015592203898050975,0.0026984883808103487,0.8226026215551062,0.010828483496952365,9.000885412118294,0.05026509939432344,0.0002491776024413058,0.017638364608626785,Green
GARCH-N,AUDUSD,3335,0.002009977855002924,True,3335,57,0.017091454272863568,0.00018544778410536691,0.9649302147112208,0.0009233499299848911,13.973071394226004,0.001933151573325631,0.00025248903555951594,0.017008352793634322,Yellow
Hist-Sim,AUDUSD,3335,0.0028112191742757295,True,3335,53,0.015892053973013492,0.0016349238070023384,0.27428306633097693,0.003858023645394129,9.920000011823575,1.1952004593604215,0.00031058275552076753,0.020662690872334924,Green
EWMA,AUDUSD,3335,0.002621876015672755,True,3335,66,0.019790104947526237,5.368312176595123e-07,0.10251131939435805,9.223061662319324e-07,25.126745278338362,2.666031923692344,0.00024692629775419463,0.01688815000752151,Yellow
PatchTST-FM,BOVESPA,4265,0.00479542747622233,True,4265,84,0.01969519343493552,1.9189252217003847e-08,0.7907519207187089,1.3437139035216077e-07,31.574914295352357,0.07040230648931356,0.0005549649032223117,0.036787343434858434,Yellow
Chronos-2,BOVESPA,4265,0.00293697205566305,True,4265,62,0.014536928487690504,0.005288356706213386,0.17616636986558468,0.008197856098096236,7.778093878759336,1.8296713419366597,0.0005386664845993399,0.03976497386144376,Green
TS-ICL,BOVESPA,4265,0.0002640179428369249,False,4265,43,0.010082063305978897,0.95710218069232,0.34926909908288806,0.6443571441373313,0.0028934040866600563,0.8761108658213175,0.0005308253263029318,0.04126832649932796,Green
Moirai-1.1,BOVESPA,4265,0.0034528117841090243,True,4265,63,0.014771395076201642,0.0034518536168925383,0.16924468229857853,0.005403554585431555,8.551775632923956,1.8896209378887079,0.0005846187332154944,0.04435378980761719,Green
Lag-Llama,BOVESPA,4265,0.011544224795620783,True,4265,139,0.03259085580304807,7.44456855480052e-32,0.039776411437052545,1.333207947738882e-31,137.95770325585465,4.2273964521082235,0.0007213485933777852,0.03786264408208378,Yellow
GJR-GARCH,BOVESPA,4265,0.00463888376866866,True,4265,67,0.01570926143024619,0.0005424262460732025,0.9579863035798131,0.0025204608515827496,11.963851775227667,0.002775257905682338,0.0005282732657434437,0.03692071140733794,Green
GJR-GARCH-t,BOVESPA,4265,0.002973458626881989,True,4265,60,0.01406799531066823,0.011874812825573056,0.8672747882402652,0.04163986527642982,6.329465089548485,0.02792945180544848,0.0005192429893814253,0.03807446380525043,Green
GARCH-N,BOVESPA,4265,0.004678515002263531,True,4265,73,0.017116060961313014,2.227958740357997e-05,0.8139675640581124,0.0001210177823048411,17.983774982145533,0.0553711417909426,0.0005386432474425414,0.036912832751689384,Yellow
Hist-Sim,BOVESPA,4265,0.003487835575226368,True,4265,65,0.015240328253223915,0.0014079804859365443,0.3642216692252829,0.004048945878559913,10.195313147658965,0.8232842696218086,0.0005869782442496016,0.04065407061341615,Green
EWMA,BOVESPA,4265,0.0033029658715502883,True,4265,72,0.016881594372801876,3.922589055488848e-05,0.11578691742437087,6.184102815793522e-05,16.9084829951762,2.4734040602733103,0.0005236312779525871,0.03742794610608258,Yellow
PatchTST-FM,BTC,2697,0.026167715335535024,True,2697,49,0.018168335187245088,0.0001302894377810609,0.9077491042049286,0.0006585232079083406,14.637593839451064,0.013427748159756447,0.0015790705269811843,0.0903710284935774,Yellow
Chronos-2,BTC,2697,0.006047288992794511,False,2697,35,0.012977382276603633,0.13731625468274727,0.4778130451578484,0.25773721920189835,2.207778828487143,0.5038506581930733,0.0015071377886204454,0.10753962730461905,Green
TS-ICL,BTC,2697,-0.0011434784223828681,False,2697,25,0.009269558769002595,0.6995047918343056,0.23085785903817307,0.45281218586973193,0.14898753275289023,1.4355681476447444,0.0015058744727961218,0.10576871021322334,Green
