model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width
Chronos-Small,SP500,1824,18,0.009868421052631578,0.9548626135239969,Green,0.0004541140656118095,0.029766077266563416
Chronos-Small,STOXX,1498,22,0.014686248331108143,0.0883793753191432,Green,0.0003544312229070462,0.023885680483477407
Chronos-Small,GDAXI,1843,49,0.026587086272381984,2.9699763759438724e-09,Yellow,0.0005102983586839006,0.025748665586368336
Chronos-Small,FCHI,1856,42,0.022629310344827586,2.698500442654961e-06,Yellow,0.00048454754175821424,0.025357435634883636
Chronos-Small,FTSE100,1833,33,0.01800327332242226,0.001961909828656072,Yellow,0.00042462429166708644,0.02224179984925659
Chronos-Small,ICLN,1185,18,0.015189873417721518,0.09533639810531203,Green,0.0005212812826070055,0.037058407870474666
Chronos-Small,NIKKEI,1772,11,0.006207674943566591,0.08450066714993021,Green,0.0005263864813977381,0.03901624689767006
Chronos-Small,HSI,1784,20,0.011210762331838564,0.6141271416648839,Green,0.0005150839242042231,0.034605626642466136
Chronos-Small,BOVESPA,1794,35,0.01950947603121516,0.00034175137803249545,Yellow,0.0005793498493439195,0.029142347413892208
Chronos-Small,NIFTY,1208,10,0.008278145695364239,0.5353143124258748,Green,0.0003142985258925392,0.022135762586125138
Chronos-Small,ASX200,1833,41,0.02236770321876705,4.69683617165817e-06,Yellow,0.0004219714940688057,0.02103252170977585
Chronos-Small,CBU0,976,41,0.042008196721311473,6.439293542825908e-14,Red,0.00020693396517302044,0.008225333786711342
Chronos-Small,TLT,1631,35,0.02145922746781116,5.443467034726979e-05,Yellow,0.00034757069275721846,0.020183990308303642
Chronos-Small,IBGL,1226,25,0.020391517128874388,0.001344150765951957,Yellow,0.0002699718082289382,0.01943711220546026
Chronos-Small,DJCI,693,19,0.027417027417027416,0.00014783279555086182,Yellow,0.00044932280233271263,0.019628556075605083
Chronos-Small,GOLD,1770,34,0.0192090395480226,0.0005487616693885533,Yellow,0.00044812867507641236,0.02522637258678096
Chronos-Small,WTI,1772,31,0.017494356659142212,0.004150050367136893,Yellow,0.0012767020850980133,0.05922314393696991
